Z,OV,T,V,C
16,92.02990313271201,3.928474199,112,233
24,81.14386594392666,3.6682648,168,395
33,91.555363132712,4.823310299,231,604
61,81.28338966280518,4.792782699,427,1667
61,79.49414594392665,8.2982648,427,1483
67,76.89068960427372,13.0620848,469,1662
77,85.31333221402025,11.3410142,539,2047
90,81.07493880872423,6.7875599,630,2495
96,79.70464008448741,8.1475012,672,2620
103,83.621477776722,12.684040401,721,2942
108,68.18526410654316,21.173152501,756,2861
99,75.18980427261091,13.1264647,714,2518
117,79.75054155781186,31.1605853,945,4335
122,66.34106559850574,40.258195799,938,3930
125,79.5458412953285,14.839916501,1022,4721
153,68.98857119076528,141.683961299,1099,5192
126,81.42576237632544,17.376144101,1169,5721
160,61.60331244740354,112.1094462,1211,6020
155,68.3585678254217,103.3124609,1134,5079
